流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
252	equip301040433006	14	90	3,447;21,440;25,538	item103015110413,1800;item103015110302,340;item103015110415,280;item103015110412,1	4500000
253	equip301040541001	1	48	3,36;21,35;25,43	item103015110413,30;item103015110401,1;item103015110414,2	100000
254	equip301040541001	2	48	3,72;21,70;25,86	item103015110413,60;item103015110401,5;item103015110414,3	200000
255	equip301040541001	3	48	3,113;21,110;25,134	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
256	equip301040541001	4	48	3,154;21,149;25,182	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
257	equip301040541001	5	55	3,199;21,194;25,236	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
258	equip301040541001	6	60	3,244;21,238;25,290	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
259	equip301040541001	7	65	3,294;21,286;25,349	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
260	equip301040541001	8	70	3,344;21,335;25,408	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
261	equip301040541001	9	75	3,398;21,388;25,473	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
262	equip301040541001	10	80	3,453;21,441;25,538	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
263	equip301040541001	11	85	3,511;21,498;25,607	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
264	equip301040541001	12	90	3,575;21,560;25,683	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
265	equip301040541001	13	90	3,643;21,626;25,763	item103015110413,2100;item103015110401,140;item103015110414,70;item103015110412,21	8000000
266	equip301040541001	14	90	3,715;21,696;25,850	item103015110413,2500;item103015110401,160;item103015110414,80;item103015110412,24	9000000
267	equip301040541002	1	48	3,46;21,30;25,61	item103015110413,30;item103015110401,1;item103015110414,2	100000
268	equip301040541002	2	48	3,92;21,61;25,123	item103015110413,60;item103015110401,5;item103015110414,3	200000
269	equip301040541002	3	48	3,144;21,96;25,192	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
270	equip301040541002	4	48	3,195;21,130;25,261	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
271	equip301040541002	5	55	3,253;21,169;25,338	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
272	equip301040541002	6	60	3,311;21,207;25,415	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
273	equip301040541002	7	65	3,374;21,250;25,499	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
274	equip301040541002	8	70	3,437;21,292;25,584	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
275	equip301040541002	9	75	3,506;21,338;25,676	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
276	equip301040541002	10	80	3,576;21,385;25,769	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
277	equip301040541002	11	85	3,650;21,435;25,868	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
278	equip301040541002	12	90	3,731;21,488;25,976	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
279	equip301040541002	13	90	3,817;21,546;25,1091	item103015110413,2100;item103015110401,140;item103015110414,70;item103015110412,21	8000000
280	equip301040541002	14	90	3,910;21,608;25,1215	item103015110413,2500;item103015110401,160;item103015110414,80;item103015110412,24	9000000
281	equip301040541003	1	48	3,45;21,48;25,49	item103015110413,30;item103015110401,1;item103015110414,2	100000
282	equip301040541003	2	48	3,90;21,96;25,98	item103015110413,60;item103015110401,5;item103015110414,3	200000
283	equip301040541003	3	48	3,141;21,151;25,153	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
284	equip301040541003	4	48	3,192;21,206;25,209	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
285	equip301040541003	5	55	3,249;21,266;25,270	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
286	equip301040541003	6	60	3,306;21,327;25,332	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
287	equip301040541003	7	65	3,368;21,393;25,399	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
288	equip301040541003	8	70	3,430;21,460;25,467	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
289	equip301040541003	9	75	3,498;21,533;25,541	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
290	equip301040541003	10	80	3,567;21,606;25,615	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
291	equip301040541003	11	85	3,640;21,684;25,694	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
292	equip301040541003	12	90	3,720;21,769;25,781	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
293	equip301040541003	13	90	3,805;21,860;25,873	item103015110413,2100;item103015110401,140;item103015110414,70;item103015110412,21	8000000
294	equip301040541003	14	90	3,895;21,957;25,971	item103015110413,2500;item103015110401,160;item103015110414,80;item103015110412,24	9000000
295	equip301040541004	1	48	3,41;21,44;25,61	item103015110413,30;item103015110401,1;item103015110414,2	100000
296	equip301040541004	2	48	3,83;21,88;25,123	item103015110413,60;item103015110401,5;item103015110414,3	200000
297	equip301040541004	3	48	3,130;21,137;25,192	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
298	equip301040541004	4	48	3,176;21,187;25,261	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
299	equip301040541004	5	55	3,228;21,242;25,338	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
300	equip301040541004	6	60	3,280;21,297;25,415	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
301	equip301040541004	7	65	3,338;21,357;25,499	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
302	equip301040541004	8	70	3,395;21,418;25,584	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
303	equip301040541004	9	75	3,457;21,484;25,676	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
304	equip301040541004	10	80	3,520;21,550;25,769	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
305	equip301040541004	11	85	3,587;21,621;25,868	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
306	equip301040541004	12	90	3,660;21,698;25,976	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
307	equip301040541004	13	90	3,738;21,781;25,1091	item103015110413,2100;item103015110401,140;item103015110414,70;item103015110412,21	8000000
308	equip301040541004	14	90	3,821;21,869;25,1215	item103015110413,2500;item103015110401,160;item103015110414,80;item103015110412,24	9000000
309	equip301040541005	1	48	3,46;21,39;25,73	item103015110413,30;item103015110401,1;item103015110414,2	100000
310	equip301040541005	2	48	3,93;21,79;25,147	item103015110413,60;item103015110401,5;item103015110414,3	200000
311	equip301040541005	3	48	3,146;21,123;25,230	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
312	equip301040541005	4	48	3,198;21,168;25,313	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
313	equip301040541005	5	55	3,257;21,217;25,406	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
314	equip301040541005	6	60	3,315;21,267;25,498	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
315	equip301040541005	7	65	3,380;21,321;25,599	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
316	equip301040541005	8	70	3,444;21,376;25,701	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
317	equip301040541005	9	75	3,514;21,435;25,812	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
318	equip301040541005	10	80	3,585;21,495;25,923	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
319	equip301040541005	11	85	3,661;21,559;25,1042	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
320	equip301040541005	12	90	3,742;21,628;25,1172	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
321	equip301040541005	13	90	3,830;21,702;25,1310	item103015110413,2100;item103015110401,140;item103015110414,70;item103015110412,21	8000000
322	equip301040541005	14	90	3,924;21,782;25,1458	item103015110413,2500;item103015110401,160;item103015110414,80;item103015110412,24	9000000
323	equip301040541006	1	48	3,35;21,35;25,43	item103015110413,30;item103015110401,1;item103015110414,2	100000
324	equip301040541006	2	48	3,71;21,70;25,86	item103015110413,60;item103015110401,5;item103015110414,3	200000
325	equip301040541006	3	48	3,112;21,110;25,134	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
326	equip301040541006	4	48	3,152;21,149;25,182	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
327	equip301040541006	5	55	3,197;21,194;25,236	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
328	equip301040541006	6	60	3,241;21,238;25,290	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
329	equip301040541006	7	65	3,291;21,286;25,349	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
330	equip301040541006	8	70	3,340;21,335;25,408	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
331	equip301040541006	9	75	3,394;21,388;25,473	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
332	equip301040541006	10	80	3,448;21,441;25,538	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
333	equip301040541006	11	85	3,506;21,498;25,607	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
334	equip301040541006	12	90	3,568;21,560;25,683	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
335	equip301040541006	13	90	3,636;21,626;25,763	item103015110413,2100;item103015110401,140;item103015110414,70;item103015110412,21	8000000
336	equip301040541006	14	90	3,707;21,696;25,850	item103015110413,2500;item103015110401,160;item103015110414,80;item103015110412,24	9000000
337	equip301050541001	1	48	3,43;21,42;25,51	item103015110413,30;item103015110401,1;item103015110414,2	100000
338	equip301050541001	2	48	3,86;21,84;25,103	item103015110413,60;item103015110401,5;item103015110414,3	200000
339	equip301050541001	3	48	3,135;21,132;25,161	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
340	equip301050541001	4	48	3,184;21,179;25,219	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
341	equip301050541001	5	55	3,238;21,232;25,284	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
342	equip301050541001	6	60	3,293;21,285;25,348	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
343	equip301050541001	7	65	3,352;21,343;25,419	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
344	equip301050541001	8	70	3,412;21,402;25,490	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
345	equip301050541001	9	75	3,477;21,465;25,568	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
346	equip301050541001	10	80	3,543;21,529;25,646	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
347	equip301050541001	11	85	3,613;21,597;25,729	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
348	equip301050541001	12	90	3,689;21,671;25,820	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
349	equip301050541001	13	90	3,771;21,751;25,917	item103015110413,2100;item103015110401,140;item103015110414,70;item103015110412,21	8000000
350	equip301050541001	14	90	3,857;21,835;25,1020	item103015110413,2500;item103015110401,160;item103015110414,80;item103015110412,24	9000000
351	equip301050541002	1	48	3,55;21,36;25,73	item103015110413,30;item103015110401,1;item103015110414,2	100000
352	equip301050541002	2	48	3,110;21,73;25,147	item103015110413,60;item103015110401,5;item103015110414,3	200000
353	equip301050541002	3	48	3,172;21,115;25,230	item103015110413,90;item103015110401,10;item103015110414,5;item103015110412,1	300000
354	equip301050541002	4	48	3,234;21,157;25,313	item103015110413,120;item103015110401,15;item103015110414,8;item103015110412,1	400000
355	equip301050541002	5	55	3,304;21,203;25,406	item103015110413,150;item103015110401,20;item103015110414,12;item103015110412,1	500000
356	equip301050541002	6	60	3,373;21,249;25,498	item103015110413,300;item103015110401,30;item103015110414,16;item103015110412,3	1000000
357	equip301050541002	7	65	3,449;21,300;25,599	item103015110413,500;item103015110401,40;item103015110414,20;item103015110412,4	2000000
358	equip301050541002	8	70	3,525;21,351;25,701	item103015110413,700;item103015110401,50;item103015110414,30;item103015110412,7	3000000
359	equip301050541002	9	75	3,608;21,406;25,812	item103015110413,900;item103015110401,60;item103015110414,35;item103015110412,10	4000000
360	equip301050541002	10	80	3,691;21,462;25,923	item103015110413,1200;item103015110401,80;item103015110414,40;item103015110412,12	5000000
361	equip301050541002	11	85	3,780;21,522;25,1042	item103015110413,1500;item103015110401,100;item103015110414,50;item103015110412,15	6000000
362	equip301050541002	12	90	3,877;21,586;25,1172	item103015110413,1800;item103015110401,120;item103015110414,60;item103015110412,18	7000000
