流水ID	遗物ID	等级	星级	升级类型	特殊属性库id(前端用)	消耗道具	消耗碎片	消耗任意品质碎片	模型NPCID	模型特效
415	3005	19	3	2	3005019	item171002000001,6			npc_relic_305	5900305
416	3005	20	3	2	3005020	item171002000001,6			npc_relic_305	5900305
417	3005	21	3	2	3005021	item171002000001,6			npc_relic_305	5900305
418	3005	22	4	3	3005022	item171002000002,3	9003005,10	2,50	npc_relic_305	5900305
419	3005	23	4	2	3005023	item171002000002,1			npc_relic_305	5900305
420	3005	24	4	2	3005024	item171002000002,1			npc_relic_305	5900305
421	3005	25	4	2	3005025	item171002000002,1			npc_relic_305	5900305
422	3005	26	4	2	3005026	item171002000002,1			npc_relic_305	5900305
423	3005	27	4	2	3005027	item171002000002,1			npc_relic_305	5900305
424	3005	28	4	2	3005028	item171002000002,1			npc_relic_305	5900305
425	3005	29	5	3	3005029	item171002000002,5	9003005,20	2,50	npc_relic_305	5900305
426	3005	30	5	4	3005030		9003005,50	2,100	npc_relic_305	5900305
427	3006	1	1	1	3006001		9003006,20		npc_relic_306	5900306
428	3006	2	1	2	3006002	item171002000001,2			npc_relic_306	5900306
429	3006	3	1	2	3006003	item171002000001,2			npc_relic_306	5900306
430	3006	4	1	2	3006004	item171002000001,2			npc_relic_306	5900306
431	3006	5	1	2	3006005	item171002000001,2			npc_relic_306	5900306
432	3006	6	1	2	3006006	item171002000001,2			npc_relic_306	5900306
433	3006	7	1	2	3006007	item171002000001,2			npc_relic_306	5900306
434	3006	8	2	3	3006008	item171002000001,10			npc_relic_306	5900306
435	3006	9	2	2	3006009	item171002000001,4			npc_relic_306	5900306
436	3006	10	2	2	3006010	item171002000001,4			npc_relic_306	5900306
437	3006	11	2	2	3006011	item171002000001,4			npc_relic_306	5900306
438	3006	12	2	2	3006012	item171002000001,4			npc_relic_306	5900306
439	3006	13	2	2	3006013	item171002000001,4			npc_relic_306	5900306
440	3006	14	2	2	3006014	item171002000001,4			npc_relic_306	5900306
441	3006	15	3	3	3006015	item171002000001,20			npc_relic_306	5900306
442	3006	16	3	2	3006016	item171002000001,6			npc_relic_306	5900306
443	3006	17	3	2	3006017	item171002000001,6			npc_relic_306	5900306
444	3006	18	3	2	3006018	item171002000001,6			npc_relic_306	5900306
445	3006	19	3	2	3006019	item171002000001,6			npc_relic_306	5900306
446	3006	20	3	2	3006020	item171002000001,6			npc_relic_306	5900306
447	3006	21	3	2	3006021	item171002000001,6			npc_relic_306	5900306
448	3006	22	4	3	3006022	item171002000002,3	9003006,10	2,50	npc_relic_306	5900306
449	3006	23	4	2	3006023	item171002000002,1			npc_relic_306	5900306
450	3006	24	4	2	3006024	item171002000002,1			npc_relic_306	5900306
451	3006	25	4	2	3006025	item171002000002,1			npc_relic_306	5900306
452	3006	26	4	2	3006026	item171002000002,1			npc_relic_306	5900306
453	3006	27	4	2	3006027	item171002000002,1			npc_relic_306	5900306
454	3006	28	4	2	3006028	item171002000002,1			npc_relic_306	5900306
455	3006	29	5	3	3006029	item171002000002,5	9003006,20	2,50	npc_relic_306	5900306
456	3006	30	5	4	3006030		9003006,50	2,100	npc_relic_306	5900306
457	3007	1	1	1	3007001		9003007,20		npc_relic_307	5900307
458	3007	2	1	2	3007002	item171002000001,2			npc_relic_307	5900307
459	3007	3	1	2	3007003	item171002000001,2			npc_relic_307	5900307
460	3007	4	1	2	3007004	item171002000001,2			npc_relic_307	5900307
461	3007	5	1	2	3007005	item171002000001,2			npc_relic_307	5900307
462	3007	6	1	2	3007006	item171002000001,2			npc_relic_307	5900307
463	3007	7	1	2	3007007	item171002000001,2			npc_relic_307	5900307
464	3007	8	2	3	3007008	item171002000001,10			npc_relic_307	5900307
465	3007	9	2	2	3007009	item171002000001,4			npc_relic_307	5900307
466	3007	10	2	2	3007010	item171002000001,4			npc_relic_307	5900307
467	3007	11	2	2	3007011	item171002000001,4			npc_relic_307	5900307
468	3007	12	2	2	3007012	item171002000001,4			npc_relic_307	5900307
469	3007	13	2	2	3007013	item171002000001,4			npc_relic_307	5900307
470	3007	14	2	2	3007014	item171002000001,4			npc_relic_307	5900307
471	3007	15	3	3	3007015	item171002000001,20			npc_relic_307	5900307
472	3007	16	3	2	3007016	item171002000001,6			npc_relic_307	5900307
473	3007	17	3	2	3007017	item171002000001,6			npc_relic_307	5900307
474	3007	18	3	2	3007018	item171002000001,6			npc_relic_307	5900307
475	3007	19	3	2	3007019	item171002000001,6			npc_relic_307	5900307
476	3007	20	3	2	3007020	item171002000001,6			npc_relic_307	5900307
477	3007	21	3	2	3007021	item171002000001,6			npc_relic_307	5900307
478	3007	22	4	3	3007022	item171002000002,3	9003007,10	2,50	npc_relic_307	5900307
479	3007	23	4	2	3007023	item171002000002,1			npc_relic_307	5900307
480	3007	24	4	2	3007024	item171002000002,1			npc_relic_307	5900307
481	3007	25	4	2	3007025	item171002000002,1			npc_relic_307	5900307
482	3007	26	4	2	3007026	item171002000002,1			npc_relic_307	5900307
483	3007	27	4	2	3007027	item171002000002,1			npc_relic_307	5900307
484	3007	28	4	2	3007028	item171002000002,1			npc_relic_307	5900307
485	3007	29	5	3	3007029	item171002000002,5	9003007,20	2,50	npc_relic_307	5900307
486	3007	30	5	4	3007030		9003007,50	2,100	npc_relic_307	5900307
487	3008	1	1	1	3008001		9003008,20		npc_relic_308	5900308
488	3008	2	1	2	3008002	item171002000001,2			npc_relic_308	5900308
489	3008	3	1	2	3008003	item171002000001,2			npc_relic_308	5900308
490	3008	4	1	2	3008004	item171002000001,2			npc_relic_308	5900308
491	3008	5	1	2	3008005	item171002000001,2			npc_relic_308	5900308
492	3008	6	1	2	3008006	item171002000001,2			npc_relic_308	5900308
493	3008	7	1	2	3008007	item171002000001,2			npc_relic_308	5900308
494	3008	8	2	3	3008008	item171002000001,10			npc_relic_308	5900308
495	3008	9	2	2	3008009	item171002000001,4			npc_relic_308	5900308
496	3008	10	2	2	3008010	item171002000001,4			npc_relic_308	5900308
497	3008	11	2	2	3008011	item171002000001,4			npc_relic_308	5900308
498	3008	12	2	2	3008012	item171002000001,4			npc_relic_308	5900308
499	3008	13	2	2	3008013	item171002000001,4			npc_relic_308	5900308
500	3008	14	2	2	3008014	item171002000001,4			npc_relic_308	5900308
501	3008	15	3	3	3008015	item171002000001,20			npc_relic_308	5900308
502	3008	16	3	2	3008016	item171002000001,6			npc_relic_308	5900308
503	3008	17	3	2	3008017	item171002000001,6			npc_relic_308	5900308
504	3008	18	3	2	3008018	item171002000001,6			npc_relic_308	5900308
505	3008	19	3	2	3008019	item171002000001,6			npc_relic_308	5900308
506	3008	20	3	2	3008020	item171002000001,6			npc_relic_308	5900308
507	3008	21	3	2	3008021	item171002000001,6			npc_relic_308	5900308
508	3008	22	4	3	3008022	item171002000002,3	9003008,10	2,50	npc_relic_308	5900308
509	3008	23	4	2	3008023	item171002000002,1			npc_relic_308	5900308
510	3008	24	4	2	3008024	item171002000002,1			npc_relic_308	5900308
511	3008	25	4	2	3008025	item171002000002,1			npc_relic_308	5900308
512	3008	26	4	2	3008026	item171002000002,1			npc_relic_308	5900308
513	3008	27	4	2	3008027	item171002000002,1			npc_relic_308	5900308
514	3008	28	4	2	3008028	item171002000002,1			npc_relic_308	5900308
515	3008	29	5	3	3008029	item171002000002,5	9003008,20	2,50	npc_relic_308	5900308
516	3008	30	5	4	3008030		9003008,50	2,100	npc_relic_308	5900308
517	3009	1	1	1	3009001		9003009,20		npc_relic_309	5900309
518	3009	2	1	2	3009002	item171002000001,2			npc_relic_309	5900309
519	3009	3	1	2	3009003	item171002000001,2			npc_relic_309	5900309
520	3009	4	1	2	3009004	item171002000001,2			npc_relic_309	5900309
521	3009	5	1	2	3009005	item171002000001,2			npc_relic_309	5900309
522	3009	6	1	2	3009006	item171002000001,2			npc_relic_309	5900309
523	3009	7	1	2	3009007	item171002000001,2			npc_relic_309	5900309
524	3009	8	2	3	3009008	item171002000001,10			npc_relic_309	5900309
525	3009	9	2	2	3009009	item171002000001,4			npc_relic_309	5900309
526	3009	10	2	2	3009010	item171002000001,4			npc_relic_309	5900309
527	3009	11	2	2	3009011	item171002000001,4			npc_relic_309	5900309
528	3009	12	2	2	3009012	item171002000001,4			npc_relic_309	5900309
529	3009	13	2	2	3009013	item171002000001,4			npc_relic_309	5900309
530	3009	14	2	2	3009014	item171002000001,4			npc_relic_309	5900309
531	3009	15	3	3	3009015	item171002000001,20			npc_relic_309	5900309
532	3009	16	3	2	3009016	item171002000001,6			npc_relic_309	5900309
533	3009	17	3	2	3009017	item171002000001,6			npc_relic_309	5900309
534	3009	18	3	2	3009018	item171002000001,6			npc_relic_309	5900309
535	3009	19	3	2	3009019	item171002000001,6			npc_relic_309	5900309
536	3009	20	3	2	3009020	item171002000001,6			npc_relic_309	5900309
537	3009	21	3	2	3009021	item171002000001,6			npc_relic_309	5900309
538	3009	22	4	3	3009022	item171002000002,3	9003009,10	2,50	npc_relic_309	5900309
539	3009	23	4	2	3009023	item171002000002,1			npc_relic_309	5900309
540	3009	24	4	2	3009024	item171002000002,1			npc_relic_309	5900309
541	3009	25	4	2	3009025	item171002000002,1			npc_relic_309	5900309
542	3009	26	4	2	3009026	item171002000002,1			npc_relic_309	5900309
543	3009	27	4	2	3009027	item171002000002,1			npc_relic_309	5900309
544	3009	28	4	2	3009028	item171002000002,1			npc_relic_309	5900309
545	3009	29	5	3	3009029	item171002000002,5	9003009,20	2,50	npc_relic_309	5900309
546	3009	30	5	4	3009030		9003009,50	2,100	npc_relic_309	5900309
547	3010	1	1	1	3010001		9003010,20		npc_relic_315	5900315
548	3010	2	1	2	3010002	item171002000001,2			npc_relic_315	5900315
549	3010	3	1	2	3010003	item171002000001,2			npc_relic_315	5900315
550	3010	4	1	2	3010004	item171002000001,2			npc_relic_315	5900315
551	3010	5	1	2	3010005	item171002000001,2			npc_relic_315	5900315
552	3010	6	1	2	3010006	item171002000001,2			npc_relic_315	5900315
553	3010	7	1	2	3010007	item171002000001,2			npc_relic_315	5900315
554	3010	8	2	3	3010008	item171002000001,10			npc_relic_315	5900315
555	3010	9	2	2	3010009	item171002000001,4			npc_relic_315	5900315
556	3010	10	2	2	3010010	item171002000001,4			npc_relic_315	5900315
557	3010	11	2	2	3010011	item171002000001,4			npc_relic_315	5900315
558	3010	12	2	2	3010012	item171002000001,4			npc_relic_315	5900315
559	3010	13	2	2	3010013	item171002000001,4			npc_relic_315	5900315
560	3010	14	2	2	3010014	item171002000001,4			npc_relic_315	5900315
561	3010	15	3	3	3010015	item171002000001,20			npc_relic_315	5900315
562	3010	16	3	2	3010016	item171002000001,6			npc_relic_315	5900315
563	3010	17	3	2	3010017	item171002000001,6			npc_relic_315	5900315
564	3010	18	3	2	3010018	item171002000001,6			npc_relic_315	5900315
565	3010	19	3	2	3010019	item171002000001,6			npc_relic_315	5900315
566	3010	20	3	2	3010020	item171002000001,6			npc_relic_315	5900315
567	3010	21	3	2	3010021	item171002000001,6			npc_relic_315	5900315
568	3010	22	4	3	3010022	item171002000002,3	9003010,10	2,50	npc_relic_315	5900315
569	3010	23	4	2	3010023	item171002000002,1			npc_relic_315	5900315
570	3010	24	4	2	3010024	item171002000002,1			npc_relic_315	5900315
571	3010	25	4	2	3010025	item171002000002,1			npc_relic_315	5900315
572	3010	26	4	2	3010026	item171002000002,1			npc_relic_315	5900315
573	3010	27	4	2	3010027	item171002000002,1			npc_relic_315	5900315
574	3010	28	4	2	3010028	item171002000002,1			npc_relic_315	5900315
575	3010	29	5	3	3010029	item171002000002,5	9003010,20	2,50	npc_relic_315	5900315
576	3010	30	5	4	3010030		9003010,50	2,100	npc_relic_315	5900315
577	3011	1	1	1	3011001		9003011,20		npc_relic_316	5900316
578	3011	2	1	2	3011002	item171002000001,2			npc_relic_316	5900316
579	3011	3	1	2	3011003	item171002000001,2			npc_relic_316	5900316
580	3011	4	1	2	3011004	item171002000001,2			npc_relic_316	5900316
581	3011	5	1	2	3011005	item171002000001,2			npc_relic_316	5900316
582	3011	6	1	2	3011006	item171002000001,2			npc_relic_316	5900316
583	3011	7	1	2	3011007	item171002000001,2			npc_relic_316	5900316
584	3011	8	2	3	3011008	item171002000001,10			npc_relic_316	5900316
585	3011	9	2	2	3011009	item171002000001,4			npc_relic_316	5900316
586	3011	10	2	2	3011010	item171002000001,4			npc_relic_316	5900316
587	3011	11	2	2	3011011	item171002000001,4			npc_relic_316	5900316
588	3011	12	2	2	3011012	item171002000001,4			npc_relic_316	5900316
589	3011	13	2	2	3011013	item171002000001,4			npc_relic_316	5900316
590	3011	14	2	2	3011014	item171002000001,4			npc_relic_316	5900316
591	3011	15	3	3	3011015	item171002000001,20			npc_relic_316	5900316
592	3011	16	3	2	3011016	item171002000001,6			npc_relic_316	5900316
593	3011	17	3	2	3011017	item171002000001,6			npc_relic_316	5900316
594	3011	18	3	2	3011018	item171002000001,6			npc_relic_316	5900316
595	3011	19	3	2	3011019	item171002000001,6			npc_relic_316	5900316
596	3011	20	3	2	3011020	item171002000001,6			npc_relic_316	5900316
597	3011	21	3	2	3011021	item171002000001,6			npc_relic_316	5900316
598	3011	22	4	3	3011022	item171002000002,3	9003011,10	2,50	npc_relic_316	5900316
599	3011	23	4	2	3011023	item171002000002,1			npc_relic_316	5900316
600	3011	24	4	2	3011024	item171002000002,1			npc_relic_316	5900316
601	3011	25	4	2	3011025	item171002000002,1			npc_relic_316	5900316
602	3011	26	4	2	3011026	item171002000002,1			npc_relic_316	5900316
603	3011	27	4	2	3011027	item171002000002,1			npc_relic_316	5900316
604	3011	28	4	2	3011028	item171002000002,1			npc_relic_316	5900316
605	3011	29	5	3	3011029	item171002000002,5	9003011,20	2,50	npc_relic_316	5900316
606	3011	30	5	4	3011030		9003011,50	2,100	npc_relic_316	5900316
607	3012	1	1	1	3012001		9003012,20		npc_relic_317	5900317
608	3012	2	1	2	3012002	item171002000001,2			npc_relic_317	5900317
609	3012	3	1	2	3012003	item171002000001,2			npc_relic_317	5900317
610	3012	4	1	2	3012004	item171002000001,2			npc_relic_317	5900317
611	3012	5	1	2	3012005	item171002000001,2			npc_relic_317	5900317
612	3012	6	1	2	3012006	item171002000001,2			npc_relic_317	5900317
613	3012	7	1	2	3012007	item171002000001,2			npc_relic_317	5900317
614	3012	8	2	3	3012008	item171002000001,10			npc_relic_317	5900317
615	3012	9	2	2	3012009	item171002000001,4			npc_relic_317	5900317
616	3012	10	2	2	3012010	item171002000001,4			npc_relic_317	5900317
617	3012	11	2	2	3012011	item171002000001,4			npc_relic_317	5900317
618	3012	12	2	2	3012012	item171002000001,4			npc_relic_317	5900317
619	3012	13	2	2	3012013	item171002000001,4			npc_relic_317	5900317
620	3012	14	2	2	3012014	item171002000001,4			npc_relic_317	5900317
621	3012	15	3	3	3012015	item171002000001,20			npc_relic_317	5900317
622	3012	16	3	2	3012016	item171002000001,6			npc_relic_317	5900317
623	3012	17	3	2	3012017	item171002000001,6			npc_relic_317	5900317
624	3012	18	3	2	3012018	item171002000001,6			npc_relic_317	5900317
625	3012	19	3	2	3012019	item171002000001,6			npc_relic_317	5900317
626	3012	20	3	2	3012020	item171002000001,6			npc_relic_317	5900317
627	3012	21	3	2	3012021	item171002000001,6			npc_relic_317	5900317
628	3012	22	4	3	3012022	item171002000002,3	9003012,10	2,50	npc_relic_317	5900317
629	3012	23	4	2	3012023	item171002000002,1			npc_relic_317	5900317
630	3012	24	4	2	3012024	item171002000002,1			npc_relic_317	5900317
631	3012	25	4	2	3012025	item171002000002,1			npc_relic_317	5900317
632	3012	26	4	2	3012026	item171002000002,1			npc_relic_317	5900317
633	3012	27	4	2	3012027	item171002000002,1			npc_relic_317	5900317
634	3012	28	4	2	3012028	item171002000002,1			npc_relic_317	5900317
635	3012	29	5	3	3012029	item171002000002,5	9003012,20	2,50	npc_relic_317	5900317
636	3012	30	5	4	3012030		9003012,50	2,100	npc_relic_317	5900317
637	3013	1	1	1	3013001		9003013,20		npc_relic_310	5900310
638	3013	2	1	2	3013002	item171002000001,2			npc_relic_310	5900310
639	3013	3	1	2	3013003	item171002000001,2			npc_relic_310	5900310
640	3013	4	1	2	3013004	item171002000001,2			npc_relic_310	5900310
641	3013	5	1	2	3013005	item171002000001,2			npc_relic_310	5900310
642	3013	6	1	2	3013006	item171002000001,2			npc_relic_310	5900310
643	3013	7	1	2	3013007	item171002000001,2			npc_relic_310	5900310
644	3013	8	2	3	3013008	item171002000001,10			npc_relic_310	5900310
645	3013	9	2	2	3013009	item171002000001,4			npc_relic_310	5900310
646	3013	10	2	2	3013010	item171002000001,4			npc_relic_310	5900310
647	3013	11	2	2	3013011	item171002000001,4			npc_relic_310	5900310
648	3013	12	2	2	3013012	item171002000001,4			npc_relic_310	5900310
649	3013	13	2	2	3013013	item171002000001,4			npc_relic_310	5900310
650	3013	14	2	2	3013014	item171002000001,4			npc_relic_310	5900310
651	3013	15	3	3	3013015	item171002000001,20			npc_relic_310	5900310
652	3013	16	3	2	3013016	item171002000001,6			npc_relic_310	5900310
653	3013	17	3	2	3013017	item171002000001,6			npc_relic_310	5900310
654	3013	18	3	2	3013018	item171002000001,6			npc_relic_310	5900310
655	3013	19	3	2	3013019	item171002000001,6			npc_relic_310	5900310
656	3013	20	3	2	3013020	item171002000001,6			npc_relic_310	5900310
657	3013	21	3	2	3013021	item171002000001,6			npc_relic_310	5900310
658	3013	22	4	3	3013022	item171002000002,3	9003013,10	2,50	npc_relic_310	5900310
659	3013	23	4	2	3013023	item171002000002,1			npc_relic_310	5900310
660	3013	24	4	2	3013024	item171002000002,1			npc_relic_310	5900310
661	3013	25	4	2	3013025	item171002000002,1			npc_relic_310	5900310
662	3013	26	4	2	3013026	item171002000002,1			npc_relic_310	5900310
663	3013	27	4	2	3013027	item171002000002,1			npc_relic_310	5900310
664	3013	28	4	2	3013028	item171002000002,1			npc_relic_310	5900310
665	3013	29	5	3	3013029	item171002000002,5	9003013,20	2,50	npc_relic_310	5900310
666	3013	30	5	4	3013030		9003013,50	2,100	npc_relic_310	5900310
667	3014	1	1	1	3014001		9003014,20		npc_relic_311	5900311
668	3014	2	1	2	3014002	item171002000001,2			npc_relic_311	5900311
669	3014	3	1	2	3014003	item171002000001,2			npc_relic_311	5900311
670	3014	4	1	2	3014004	item171002000001,2			npc_relic_311	5900311
671	3014	5	1	2	3014005	item171002000001,2			npc_relic_311	5900311
672	3014	6	1	2	3014006	item171002000001,2			npc_relic_311	5900311
673	3014	7	1	2	3014007	item171002000001,2			npc_relic_311	5900311
674	3014	8	2	3	3014008	item171002000001,10			npc_relic_311	5900311
675	3014	9	2	2	3014009	item171002000001,4			npc_relic_311	5900311
676	3014	10	2	2	3014010	item171002000001,4			npc_relic_311	5900311
677	3014	11	2	2	3014011	item171002000001,4			npc_relic_311	5900311
678	3014	12	2	2	3014012	item171002000001,4			npc_relic_311	5900311
679	3014	13	2	2	3014013	item171002000001,4			npc_relic_311	5900311
680	3014	14	2	2	3014014	item171002000001,4			npc_relic_311	5900311
681	3014	15	3	3	3014015	item171002000001,20			npc_relic_311	5900311
682	3014	16	3	2	3014016	item171002000001,6			npc_relic_311	5900311
683	3014	17	3	2	3014017	item171002000001,6			npc_relic_311	5900311
684	3014	18	3	2	3014018	item171002000001,6			npc_relic_311	5900311
685	3014	19	3	2	3014019	item171002000001,6			npc_relic_311	5900311
686	3014	20	3	2	3014020	item171002000001,6			npc_relic_311	5900311
687	3014	21	3	2	3014021	item171002000001,6			npc_relic_311	5900311
688	3014	22	4	3	3014022	item171002000002,3	9003014,10	2,50	npc_relic_311	5900311
689	3014	23	4	2	3014023	item171002000002,1			npc_relic_311	5900311
690	3014	24	4	2	3014024	item171002000002,1			npc_relic_311	5900311
691	3014	25	4	2	3014025	item171002000002,1			npc_relic_311	5900311
692	3014	26	4	2	3014026	item171002000002,1			npc_relic_311	5900311
693	3014	27	4	2	3014027	item171002000002,1			npc_relic_311	5900311
694	3014	28	4	2	3014028	item171002000002,1			npc_relic_311	5900311
695	3014	29	5	3	3014029	item171002000002,5	9003014,20	2,50	npc_relic_311	5900311
696	3014	30	5	4	3014030		9003014,50	2,100	npc_relic_311	5900311
697	3015	1	1	1	3015001		9003015,20		npc_relic_312	5900312
698	3015	2	1	2	3015002	item171002000001,2			npc_relic_312	5900312
