流水号	主任务ID	子任务序号	子任务类型	行为类型	替换bgm	目标对象	目标线索	行为目标	战力限制	目的地提示	是否显示Content	是否显示战斗标志	目标场景	行为场景	目标坐标	是否启用停止范围	寻路停止范围	触发类型	长、宽、旋转	触发范围	需求数量	提交NPC	提交场景	提交npc坐标	自动提交任务	自动继续	完成提示显示	完成特效提示	判断进度条显示	是否显示流光特效	任务栏显示奖励掉落包	奖励显示	任务道具奖励	世界任务灰色数值奖励	世界任务灰色道具奖励	世界任务超出数量奖励	是否可放弃	显示图片	失败条件类型	失败条件参数	进行中标题	进行中内容	进行中故事	提交时标题	提交时内容	提示时故事	触发引导ID	任务邮件	隔天任务邮件	是否为界面内的	是否记录任务进度
75	125140	0	7	3	0	item106030101109		npc_10094	0				5	5	63.0,7.1,23.0	0	0	0		10.000000	1		5		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125140	ExecuteTaskContent125140	ExecuteTaskStory125140								0
76	125150	0	7	3	0	item106030101110		npc_10095	0				5	5	-55.8,4.5,-23.5	0	0	0		10.000000	1		5		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125150	ExecuteTaskContent125150	ExecuteTaskStory125150								0
77	125160	0	14	2	0	monster12000001		monster12000001	0				5	5	19.2,4.8,-39.9	0	0	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName125160	ExecuteTaskContent125160	ExecuteTaskStory125160								0
78	125170	0	13	5	0	1900		LinkUI:ArenaPanel	0				5	5	10.9,3.9,34.0	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName125170	ExecuteTaskContent125170	ExecuteTaskStory125170								0
79	125180	0	60	1	0	cannon_npc_005,-1		cannon_npc_005	0				5	5	-62.9,6.6,22.6	0	0	0		6.000000	1		5		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125180	ExecuteTaskContent125180	ExecuteTaskStory125180								0
80	125190	0	25	6	0	125190,0		-6.5,4.4,-57.2,31,icon_dianran,InteractiveFire1	0				5	5	-6.5,4.4,-57.2	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName125190	ExecuteTaskContent125190	ExecuteTaskStory125190								0
81	125200	0	25	6	0	125200,0		14.0,4.2,-51.4,32,icon_shitan,InteractiveTry	0				5	5	14.0,4.2,-51.4	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125200	ExecuteTaskContent125200	ExecuteTaskStory125200								0
82	125210	0	25	6	0	125210,0		-31.6,4.4,43.4,24,icon_wanshua,InteractivePlay	0				5	5	-31.6,4.4,43.4	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName125210	ExecuteTaskContent125210	ExecuteTaskStory125210								0
83	125220	0	51	2	0	monster15300001		monster15300001	0		1		5	5	3.6,3.7,13.8	0	0	0		20.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName125220	ExecuteTaskContent125220	ExecuteTaskStory125220								0
84	125230	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		5	5	-57.9,6.6,26.4	1	1	0		6.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName125230	ExecuteTaskContent125230	ExecuteTaskStory125230								0
85	126010	0	1	1	0	npc_10505		npc_10505	0				6	6	84.9,2.3,-8.5	0	0	0		6.000000	1	npc_10505	6	84.9,2.3,-8.5	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126010	ExecuteTaskContent126010	ExecuteTaskStory126010	SubmitTaskName126010	SubmitTaskContent126010	SubmitTaskStory126010					0
86	126020	0	1	1	0	npc_10510		npc_10510	0				6	6	-0.2,0.3,-7.0	0	0	0		6.000000	1	npc_10510	6	-0.2,0.3,-7.0	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126020	ExecuteTaskContent126020	ExecuteTaskStory126020	SubmitTaskName126020	SubmitTaskContent126020	SubmitTaskStory126020					0
87	126030	0	1	1	0	npc_10511		npc_10511	0				6	6	70.0,2.3,-5.6	0	0	0		6.000000	1	npc_10511	6	70.0,2.3,-5.6	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126030	ExecuteTaskContent126030	ExecuteTaskStory126030	SubmitTaskName126030	SubmitTaskContent126030	SubmitTaskStory126030					0
88	126040	0	2	2	0	monster10006013		monster10006013	0		1	1	6	6	0.9,1.0,53.1	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126040	ExecuteTaskContent126040	ExecuteTaskStory126040								0
89	126050	0	2	2	0	monster10006005		monster10006005	0		1	1	6	6	4.4,-0.1,-13.9	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126050	ExecuteTaskContent126050	ExecuteTaskStory126050								0
90	126060	0	2	2	0	monster10006003		monster10006003	0		1	1	6	6	-23.9,0.1,-21.7	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName126060	ExecuteTaskContent126060	ExecuteTaskStory126060								0
91	126070	0	2	2	0	monster10006004		monster10006004	0		1	1	6	6	-10.6,0.0,-12.0	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName126070	ExecuteTaskContent126070	ExecuteTaskStory126070								0
92	126080	0	2	2	0	monster10006007		monster10006007	0		1	1	6	6	47.1,-5.2,-59.2	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName126080	ExecuteTaskContent126080	ExecuteTaskStory126080								0
93	126090	0	2	2	0	monster10006008		monster10006008	0		1	1	6	6	-11.2,1.0,-20.6	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName126090	ExecuteTaskContent126090	ExecuteTaskStory126090								0
94	126100	0	3	2	0	item106030101146		monster10006010	0		1	1	6	6	40.9,-5.2,-62.8	1	1	0		13.000000	5		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126100	ExecuteTaskContent126100	ExecuteTaskStory126100								0
95	126110	0	3	2	0	item106030101147		monster10006009	0		1	1	6	6	29.0,0.2,18.0	1	1	0		13.000000	10		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName126110	ExecuteTaskContent126110	ExecuteTaskStory126110								0
96	126120	0	50	1	0	5		door_30051	0				1033	6	33.5,-4.9,-59.3	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName126120	ExecuteTaskContent126120	ExecuteTaskStory126120								0
97	126130	0	3	1	0	item106030101148		npc_collect_028	0		1		6	6	-27.4,0.4,54.7	0	0	0		6.000000	2		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126130	ExecuteTaskContent126130	ExecuteTaskStory126130								0
98	126170	0	13	5	0	1900		LinkUI:ArenaPanel	0				6	6	10.9,3.9,34.0	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName126170	ExecuteTaskContent126170	ExecuteTaskStory126170								0
99	126180	0	60	1	0	cannon_npc_006,-1		cannon_npc_006	0				6	6	75.9,2.0,-16.0	0	0	0		6.000000	1		6		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126180	ExecuteTaskContent126180	ExecuteTaskStory126180								0
100	126190	0	25	6	0	126190,0		14.8,-5.0,-61.4,9,icon_caiji,InteractiveUse	0				6	6	14.8,-5.0,-61.4	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126190	ExecuteTaskContent126190	ExecuteTaskStory126190								0
101	126200	0	25	6	0	126200,0		-6.3,0.3,-9.8,36,icon_tiaolou,InteractiveDance	0				6	6	-6.3,0.3,-9.8	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName126200	ExecuteTaskContent126200	ExecuteTaskStory126200								0
102	126210	0	25	6	0	126210,0		15.1,2.8,59.8,31,icon_dianran,InteractiveFire1	0				6	6	15.1,2.8,59.8	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName126210	ExecuteTaskContent126210	ExecuteTaskStory126210								0
103	126220	0	51	2	0	monster15300002		monster15300002	0		1		6	6	-40.2,-0.4,44.6	1	1	0		20.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName126220	ExecuteTaskContent126220	ExecuteTaskStory126220								0
104	126230	0	53	4	0	ride_pub_stone_02		ride_pub_stone_02	0		1		6	6	15.7,0.1,38.5	1	1	0		16.000000	20		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName126230	ExecuteTaskContent126230	ExecuteTaskStory126230								0
105	126240	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		6	6	27.3,-5.0,-49.8	1	1	0		6.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName126240	ExecuteTaskContent126240	ExecuteTaskStory126240								0
106	127010	0	1	1	0	npc_10189		npc_10189	0				7	7	-33.0,4.0,-24.4	0	0	0		6.000000	1	npc_10189	7	-33.0,4.0,-24.4	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName127010	ExecuteTaskContent127010	ExecuteTaskStory127010	SubmitTaskName127010	SubmitTaskContent127010	SubmitTaskStory127010					0
107	127020	0	1	1	0	npc_10196		npc_10196	0				7	7	5.6,-1.6,-20.5	0	0	0		6.000000	1	npc_10196	7	5.6,-1.6,-20.5	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName127020	ExecuteTaskContent127020	ExecuteTaskStory127020	SubmitTaskName127020	SubmitTaskContent127020	SubmitTaskStory127020					0
108	127030	0	1	1	0	npc_10194		npc_10194	0				7	7	29.4,-0.8,-16.5	0	0	0		6.000000	1	npc_10194	7	29.4,-0.8,-16.5	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName127030	ExecuteTaskContent127030	ExecuteTaskStory127030	SubmitTaskName127030	SubmitTaskContent127030	SubmitTaskStory127030					0
109	127040	0	2	2	0	monster10007001		monster10007001	0		1	1	7	7	-30.0,5.7,23.8	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName127040	ExecuteTaskContent127040	ExecuteTaskStory127040								0
110	127050	0	2	2	0	monster10007006		monster10007006	0		1	1	7	7	26.1,6.6,40.3	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName127050	ExecuteTaskContent127050	ExecuteTaskStory127050								0
111	127060	0	2	2	0	monster10007002		monster10007002	0		1	1	7	7	-0.2,-0.5,-1.6	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName127060	ExecuteTaskContent127060	ExecuteTaskStory127060								0
112	127070	0	2	2	0	monster10007008		monster10007008	0		1	1	7	7	17.8,2.9,9.0	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName127070	ExecuteTaskContent127070	ExecuteTaskStory127070								0
113	127080	0	2	2	0	monster11007001		monster11007001	0		1	1	7	7	56.9,-0.8,-26.7	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName127080	ExecuteTaskContent127080	ExecuteTaskStory127080								0
114	127090	0	2	2	0	monster11007002		monster11007002	0		1	1	7	7	-37.5,5.7,44.9	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName127090	ExecuteTaskContent127090	ExecuteTaskStory127090								0
115	127100	0	3	2	0	item106030110004		monster10007004	0		1	1	7	7	37.3,-0.8,-23.3	1	1	0		13.000000	5		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName127100	ExecuteTaskContent127100	ExecuteTaskStory127100								0
116	127110	0	3	2	0	item106030110005		monster10007005	0		1	1	7	7	63.2,-0.8,-31.8	1	1	0		13.000000	10		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName127110	ExecuteTaskContent127110	ExecuteTaskStory127110								0
117	127120	0	50	1	0	6		door_30061	0				1039	7	15.9,6.7,86.9	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName127120	ExecuteTaskContent127120	ExecuteTaskStory127120								0
118	127170	0	13	5	0	1900		LinkUI:ArenaPanel	0				7	7	18.7,2.2,-52.0	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName127170	ExecuteTaskContent127170	ExecuteTaskStory127170								0
119	127210	0	25	6	0	127210,0		-26.5,3.9,-12.9,31,icon_dianran,InteractiveFire1	0				7	7	-26.5,3.9,-12.9	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName127210	ExecuteTaskContent127210	ExecuteTaskStory127210								0
120	127220	0	51	2	0	monster15300002		monster15300002	0		1		7	7	5.1,6.7,46.9	1	1	0		20.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName127220	ExecuteTaskContent127220	ExecuteTaskStory127220								0
121	127240	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		7	7	-29.0,4.0,-34.9	1	1	0		6.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName127240	ExecuteTaskContent127240	ExecuteTaskStory127240								0
122	128010	0	1	1	0	npc_10224		npc_10224	0				8	8	61.4,18.5,39.3	0	0	0		6.000000	1	npc_10224	8	61.4,18.5,39.3	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName128010	ExecuteTaskContent128010	ExecuteTaskStory128010	SubmitTaskName128010	SubmitTaskContent128010	SubmitTaskStory128010					0
123	128040	0	2	2	0	monster11008007		monster11008007	0		1	1	8	8	-84.9,8.5,-5.0	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName128040	ExecuteTaskContent128040	ExecuteTaskStory128040								0
124	128050	0	2	2	0	monster11008001		monster11008001	0		1	1	8	8	-43.7,-0.4,-64.1	1	1	0		13.000000	9		-1		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName128050	ExecuteTaskContent128050	ExecuteTaskStory128050								0
125	128060	0	2	2	0	monster11008004		monster11008004	0		1	1	8	8	46.4,2.5,-57.4	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName128060	ExecuteTaskContent128060	ExecuteTaskStory128060								0
126	128070	0	2	2	0	monster11008003		monster11008003	0		1	1	8	8	-41.1,4.6,-23.1	1	1	0		13.000000	15		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName128070	ExecuteTaskContent128070	ExecuteTaskStory128070								0
127	128080	0	2	2	0	monster11008009		monster11008009	0		1	1	8	8	-27.5,-0.4,-64.3	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName128080	ExecuteTaskContent128080	ExecuteTaskStory128080								0
128	128090	0	2	2	0	monster11008010		monster11008010	0		1	1	8	8	-34.4,13.2,43.6	1	1	0		10.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,70000;item1013,360	item4005,1;item1000,70000;item1013,360			item1000,50000	0				ExecuteTaskName128090	ExecuteTaskContent128090	ExecuteTaskStory128090								0
129	128170	0	13	5	0	1900		LinkUI:ArenaPanel	0				8	8	-55.0,8.4,1.4	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName128170	ExecuteTaskContent128170	ExecuteTaskStory128170								0
130	128210	0	25	6	0	128210,0		-9.1,-2.1,-83.0,82,icon_caiji,Task_Flow_Plough1	0				8	8	-9.1,-2.1,-83.0	0	0	0		6.000000	1		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName128210	ExecuteTaskContent128210	ExecuteTaskStory128210								0
131	128240	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		8	8	55.1,18.4,38.0	1	1	0		6.000000	3		-1		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName128240	ExecuteTaskContent128240	ExecuteTaskStory128240								0
132	129010	0	2	2	0	monster10008003		monster10008003	0		1	1	9	9	-20.0,-2.0,-61.8	1	1	0		13.000000	10		9		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,20000	0				ExecuteTaskName129010	ExecuteTaskContent129010	ExecuteTaskStory129010								0
133	129020	0	1	1	0	npc_100080010		npc_100080010	0				9	9	-15.2,1.6,-15.3	0	0	0		3.000000	1	npc_100080010	9	-15.2,1.6,-15.3	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129020	ExecuteTaskContent129020	ExecuteTaskStory129020	SubmitTaskName129020	SubmitTaskContent129020	SubmitTaskStory129020					0
134	129030	0	19	1	0	cannon_npc_009,-1		cannon_npc_009	0		1		9	9	-44.8,8.0,-2.3	0	0	0		3.000000	1		9		0	0	1	1	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129030	ExecuteTaskContent129030	ExecuteTaskStory129030								0
135	129040	0	2	2	0	monster10008006		monster10008006	0		1	1	9	9	38.8,9.1,39.2	1	1	0		13.000000	10		9		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName129040	ExecuteTaskContent129040	ExecuteTaskStory129040								0
136	129050	0	1	1	0	npc_10310		npc_10310	0		1		9	9	17.8,1.6,-13.5	0	0	0		3.000000	1	npc_10310	9	17.8,1.6,-13.5	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129050	ExecuteTaskContent129050	ExecuteTaskStory129050	SubmitTaskName129050	SubmitTaskContent129050	SubmitTaskStory129050					0
137	129060	0	25	6	0	129060,0		20.9,1.6,-24.5,8,icon_caiji,InteractiveSearch	0				9	9	20.9,1.6,-24.5	0	0	0		3.000000	1		9		0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129060	ExecuteTaskContent129060	ExecuteTaskStory129060								0
138	129070	0	19	1	0	cannon_npc_009,-1		cannon_npc_009	0		1		9	9	-44.8,8.0,-2.3	0	0	0		3.000000	1		9		0	0	1	1	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129070	ExecuteTaskContent129070	ExecuteTaskStory129070								0
139	129080	0	1	1	0	npc_103207		npc_103207	0				9	9	15.5,4.1,33.2	0	0	0		3.000000	1	npc_103207	9	15.5,4.1,33.2	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129080	ExecuteTaskContent129080	ExecuteTaskStory129080	SubmitTaskName129080	SubmitTaskContent129080	SubmitTaskStory129080					0
140	129090	0	57	5	0			LinkCmd:OnWorldTaskAnswerPanelOpen	0		1		9	9	17.8,1.6,-13.5	1	1	0		3.000000	3		9		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName129090	ExecuteTaskContent129090	ExecuteTaskStory129090								0
141	129100	0	2	2	0	monster10008005		monster10008005	0		1	1	9	9	69.1,2.7,-26.1	0	0	0		3.000000	10		9		0	0	1	0	0	0		item2001,1;item1000,40000;item1013,260	item4004,1;item1000,40000;item1013,260			item1000,35000	0				ExecuteTaskName129100	ExecuteTaskContent129100	ExecuteTaskStory129100								0
142	129110	0	1	1	0	npc_10260		npc_10260	0				9	9	-46.1,8.0,8.4	0	0	0		3.000000	1	npc_10260	9	-46.1,8.0,8.4	0	0	1	0	0	0		item2001,1;item1000,24000;item1013,120	item4003,1;item1000,24000;item1013,120			item1000,20000	0				ExecuteTaskName129110	ExecuteTaskContent129110	ExecuteTaskStory129110	SubmitTaskName129110	SubmitTaskContent129110	SubmitTaskStory129110					0
