流水id	技能宝石升级属性类型	等级	镶嵌属性	升级至次级所需经验	重置所需材料
406	401	126	4,231;1,2310;26,770;21,770	280000	item17908000000001,1
407	401	127	4,235;1,2345;26,782;21,782	280000	item17908000000001,1
408	401	128	4,238;1,2380;26,794;21,794	280000	item17908000000001,1
409	401	129	4,242;1,2415;26,805;21,805	280000	item17908000000001,1
410	401	130	4,245;1,2450;26,817;21,817	380000	item17908000000001,1
411	401	131	4,249;1,2487;26,829;21,829	380000	item17908000000001,1
412	401	132	4,253;1,2524;26,842;21,842	380000	item17908000000001,1
413	401	133	4,257;1,2561;26,854;21,854	380000	item17908000000001,1
414	401	134	4,260;1,2598;26,866;21,866	380000	item17908000000001,1
415	401	135	4,264;1,2635;26,879;21,879	480000	item17908000000001,1
416	401	136	4,268;1,2673;26,891;21,891	480000	item17908000000001,1
417	401	137	4,272;1,2711;26,904;21,904	480000	item17908000000001,1
418	401	138	4,275;1,2749;26,917;21,917	480000	item17908000000001,1
419	401	139	4,279;1,2787;26,929;21,929	480000	item17908000000001,1
420	401	140	4,283;1,2825;26,942;21,942	0	item17908000000001,1
421	501	1	4,1;1,3;26,1;21,1	200	item17908000000001,1
422	501	2	4,1;1,6;26,2;21,2	200	item17908000000001,1
423	501	3	4,1;1,9;26,3;21,3	200	item17908000000001,1
424	501	4	4,2;1,12;26,4;21,4	200	item17908000000001,1
425	501	5	4,2;1,15;26,5;21,5	600	item17908000000001,1
426	501	6	4,2;1,19;26,7;21,7	600	item17908000000001,1
427	501	7	4,3;1,23;26,8;21,8	600	item17908000000001,1
428	501	8	4,3;1,27;26,9;21,9	600	item17908000000001,1
429	501	9	4,4;1,31;26,11;21,11	600	item17908000000001,1
430	501	10	4,4;1,35;26,12;21,12	1000	item17908000000001,1
431	501	11	4,5;1,41;26,14;21,14	1000	item17908000000001,1
432	501	12	4,5;1,47;26,16;21,16	1000	item17908000000001,1
433	501	13	4,6;1,53;26,18;21,18	1000	item17908000000001,1
434	501	14	4,6;1,59;26,20;21,20	1000	item17908000000001,1
435	501	15	4,7;1,65;26,22;21,22	2000	item17908000000001,1
436	501	16	4,8;1,72;26,24;21,24	2000	item17908000000001,1
437	501	17	4,8;1,79;26,27;21,27	2000	item17908000000001,1
438	501	18	4,9;1,86;26,29;21,29	2000	item17908000000001,1
439	501	19	4,10;1,93;26,31;21,31	2000	item17908000000001,1
440	501	20	4,10;1,100;26,34;21,34	800	item17908000000001,1
441	501	21	4,11;1,109;26,37;21,37	800	item17908000000001,1
442	501	22	4,12;1,118;26,40;21,40	800	item17908000000001,1
443	501	23	4,13;1,127;26,43;21,43	800	item17908000000001,1
444	501	24	4,14;1,136;26,46;21,46	800	item17908000000001,1
445	501	25	4,15;1,145;26,49;21,49	2500	item17908000000001,1
446	501	26	4,16;1,155;26,52;21,52	2500	item17908000000001,1
447	501	27	4,17;1,165;26,55;21,55	2500	item17908000000001,1
448	501	28	4,18;1,175;26,59;21,59	2500	item17908000000001,1
449	501	29	4,19;1,185;26,62;21,62	2500	item17908000000001,1
450	501	30	4,20;1,195;26,65;21,65	7000	item17908000000001,1
451	501	31	4,21;1,207;26,69;21,69	7000	item17908000000001,1
452	501	32	4,22;1,219;26,73;21,73	7000	item17908000000001,1
453	501	33	4,24;1,231;26,77;21,77	7000	item17908000000001,1
454	501	34	4,25;1,243;26,81;21,81	7000	item17908000000001,1
455	501	35	4,26;1,255;26,85;21,85	15000	item17908000000001,1
456	501	36	4,27;1,269;26,90;21,90	15000	item17908000000001,1
457	501	37	4,29;1,283;26,95;21,95	15000	item17908000000001,1
458	501	38	4,30;1,297;26,99;21,99	15000	item17908000000001,1
459	501	39	4,32;1,311;26,104;21,104	15000	item17908000000001,1
460	501	40	4,33;1,325;26,109;21,109	7500	item17908000000001,1
461	501	41	4,34;1,339;26,113;21,113	7500	item17908000000001,1
462	501	42	4,36;1,353;26,118;21,118	7500	item17908000000001,1
463	501	43	4,37;1,367;26,123;21,123	7500	item17908000000001,1
464	501	44	4,39;1,381;26,127;21,127	7500	item17908000000001,1
465	501	45	4,40;1,395;26,132;21,132	16500	item17908000000001,1
466	501	46	4,42;1,411;26,137;21,137	16500	item17908000000001,1
467	501	47	4,43;1,427;26,143;21,143	16500	item17908000000001,1
468	501	48	4,45;1,443;26,148;21,148	16500	item17908000000001,1
469	501	49	4,46;1,459;26,153;21,153	16500	item17908000000001,1
470	501	50	4,48;1,475;26,159;21,159	25500	item17908000000001,1
471	501	51	4,50;1,493;26,165;21,165	25500	item17908000000001,1
472	501	52	4,52;1,511;26,171;21,171	25500	item17908000000001,1
473	501	53	4,53;1,529;26,177;21,177	25500	item17908000000001,1
474	501	54	4,55;1,547;26,183;21,183	25500	item17908000000001,1
475	501	55	4,57;1,565;26,189;21,189	34000	item17908000000001,1
476	501	56	4,59;1,584;26,195;21,195	34000	item17908000000001,1
477	501	57	4,61;1,603;26,201;21,201	34000	item17908000000001,1
478	501	58	4,63;1,622;26,208;21,208	34000	item17908000000001,1
479	501	59	4,65;1,641;26,214;21,214	34000	item17908000000001,1
480	501	60	4,66;1,660;26,220;21,220	21000	item17908000000001,1
481	501	61	4,69;1,681;26,227;21,227	21000	item17908000000001,1
482	501	62	4,71;1,702;26,234;21,234	21000	item17908000000001,1
483	501	63	4,73;1,723;26,241;21,241	21000	item17908000000001,1
484	501	64	4,75;1,744;26,248;21,248	21000	item17908000000001,1
485	501	65	4,77;1,765;26,255;21,255	38500	item17908000000001,1
486	501	66	4,79;1,787;26,263;21,263	38500	item17908000000001,1
487	501	67	4,81;1,809;26,270;21,270	38500	item17908000000001,1
488	501	68	4,84;1,831;26,277;21,277	38500	item17908000000001,1
489	501	69	4,86;1,853;26,285;21,285	38500	item17908000000001,1
490	501	70	4,88;1,875;26,292;21,292	55500	item17908000000001,1
491	501	71	4,90;1,899;26,300;21,300	55500	item17908000000001,1
492	501	72	4,93;1,923;26,308;21,308	55500	item17908000000001,1
493	501	73	4,95;1,947;26,316;21,316	55500	item17908000000001,1
494	501	74	4,98;1,971;26,324;21,324	55500	item17908000000001,1
495	501	75	4,100;1,995;26,332;21,332	72500	item17908000000001,1
496	501	76	4,102;1,1020;26,340;21,340	72500	item17908000000001,1
497	501	77	4,105;1,1045;26,349;21,349	72500	item17908000000001,1
498	501	78	4,107;1,1070;26,357;21,357	72500	item17908000000001,1
499	501	79	4,110;1,1095;26,365;21,365	72500	item17908000000001,1
500	501	80	4,112;1,1120;26,374;21,374	45000	item17908000000001,1
501	501	81	4,115;1,1147;26,383;21,383	45000	item17908000000001,1
502	501	82	4,118;1,1174;26,392;21,392	45000	item17908000000001,1
503	501	83	4,121;1,1201;26,401;21,401	45000	item17908000000001,1
504	501	84	4,123;1,1228;26,410;21,410	45000	item17908000000001,1
505	501	85	4,126;1,1255;26,419;21,419	82500	item17908000000001,1
506	501	86	4,129;1,1284;26,428;21,428	82500	item17908000000001,1
507	501	87	4,132;1,1313;26,438;21,438	82500	item17908000000001,1
508	501	88	4,135;1,1342;26,448;21,448	82500	item17908000000001,1
509	501	89	4,138;1,1371;26,457;21,457	82500	item17908000000001,1
510	501	90	4,140;1,1400;26,467;21,467	120000	item17908000000001,1
511	501	91	4,143;1,1429;26,477;21,477	120000	item17908000000001,1
512	501	92	4,146;1,1458;26,486;21,486	120000	item17908000000001,1
513	501	93	4,149;1,1487;26,496;21,496	120000	item17908000000001,1
514	501	94	4,152;1,1516;26,506;21,506	120000	item17908000000001,1
515	501	95	4,155;1,1545;26,515;21,515	157500	item17908000000001,1
516	501	96	4,158;1,1576;26,526;21,526	157500	item17908000000001,1
517	501	97	4,161;1,1607;26,536;21,536	157500	item17908000000001,1
518	501	98	4,164;1,1638;26,546;21,546	157500	item17908000000001,1
519	501	99	4,167;1,1669;26,557;21,557	157500	item17908000000001,1
520	501	100	4,170;1,1700;26,567;21,567	97500	item17908000000001,1
521	501	101	4,174;1,1733;26,578;21,578	97500	item17908000000001,1
522	501	102	4,177;1,1766;26,589;21,589	97500	item17908000000001,1
523	501	103	4,180;1,1799;26,600;21,600	97500	item17908000000001,1
524	501	104	4,184;1,1832;26,611;21,611	97500	item17908000000001,1
525	501	105	4,187;1,1865;26,622;21,622	163500	item17908000000001,1
526	501	106	4,190;1,1899;26,633;21,633	163500	item17908000000001,1
527	501	107	4,194;1,1933;26,645;21,645	163500	item17908000000001,1
528	501	108	4,197;1,1967;26,656;21,656	163500	item17908000000001,1
529	501	109	4,201;1,2001;26,667;21,667	163500	item17908000000001,1
530	501	110	4,204;1,2035;26,679;21,679	229500	item17908000000001,1
531	501	111	4,208;1,2071;26,691;21,691	229500	item17908000000001,1
532	501	112	4,211;1,2107;26,703;21,703	229500	item17908000000001,1
533	501	113	4,215;1,2143;26,715;21,715	229500	item17908000000001,1
534	501	114	4,218;1,2179;26,727;21,727	229500	item17908000000001,1
535	501	115	4,222;1,2215;26,739;21,739	295000	item17908000000001,1
536	501	116	4,226;1,2252;26,751;21,751	295000	item17908000000001,1
537	501	117	4,229;1,2289;26,763;21,763	295000	item17908000000001,1
538	501	118	4,233;1,2326;26,776;21,776	295000	item17908000000001,1
539	501	119	4,237;1,2363;26,788;21,788	295000	item17908000000001,1
540	501	120	4,240;1,2400;26,800;21,800	180000	item17908000000001,1
541	501	121	4,244;1,2439;26,813;21,813	180000	item17908000000001,1
542	501	122	4,248;1,2478;26,826;21,826	180000	item17908000000001,1
543	501	123	4,252;1,2517;26,839;21,839	180000	item17908000000001,1
544	501	124	4,256;1,2556;26,852;21,852	180000	item17908000000001,1
545	501	125	4,260;1,2595;26,865;21,865	280000	item17908000000001,1
546	501	126	4,264;1,2635;26,879;21,879	280000	item17908000000001,1
547	501	127	4,268;1,2675;26,892;21,892	280000	item17908000000001,1
548	501	128	4,272;1,2715;26,905;21,905	280000	item17908000000001,1
549	501	129	4,276;1,2755;26,919;21,919	280000	item17908000000001,1
550	501	130	4,280;1,2795;26,932;21,932	380000	item17908000000001,1
551	501	131	4,284;1,2837;26,946;21,946	380000	item17908000000001,1
552	501	132	4,288;1,2879;26,960;21,960	380000	item17908000000001,1
553	501	133	4,293;1,2921;26,974;21,974	380000	item17908000000001,1
554	501	134	4,297;1,2963;26,988;21,988	380000	item17908000000001,1
555	501	135	4,301;1,3005;26,1002;21,1002	480000	item17908000000001,1
556	501	136	4,305;1,3049;26,1017;21,1017	480000	item17908000000001,1
557	501	137	4,310;1,3093;26,1031;21,1031	480000	item17908000000001,1
558	501	138	4,314;1,3137;26,1046;21,1046	480000	item17908000000001,1
559	501	139	4,319;1,3181;26,1061;21,1061	480000	item17908000000001,1
560	501	140	4,323;1,3225;26,1075;21,1075	0	item17908000000001,1
561	202	1	4,1;1,2;24,1;21,1	200	item17908000000001,1
562	202	2	4,1;1,4;24,2;21,2	200	item17908000000001,1
563	202	3	4,1;1,6;24,2;21,2	200	item17908000000001,1
564	202	4	4,1;1,8;24,3;21,3	200	item17908000000001,1
565	202	5	4,1;1,10;24,4;21,4	600	item17908000000001,1
566	202	6	4,2;1,13;24,5;21,5	600	item17908000000001,1
567	202	7	4,2;1,16;24,6;21,6	600	item17908000000001,1
568	202	8	4,2;1,19;24,7;21,7	600	item17908000000001,1
569	202	9	4,3;1,22;24,8;21,8	600	item17908000000001,1
570	202	10	4,3;1,25;24,9;21,9	1000	item17908000000001,1
571	202	11	4,3;1,29;24,10;21,10	1000	item17908000000001,1
572	202	12	4,4;1,33;24,11;21,11	1000	item17908000000001,1
573	202	13	4,4;1,37;24,13;21,13	1000	item17908000000001,1
574	202	14	4,5;1,41;24,14;21,14	1000	item17908000000001,1
575	202	15	4,5;1,45;24,15;21,15	2000	item17908000000001,1
576	202	16	4,5;1,49;24,17;21,17	2000	item17908000000001,1
577	202	17	4,6;1,53;24,18;21,18	2000	item17908000000001,1
578	202	18	4,6;1,57;24,19;21,19	2000	item17908000000001,1
579	202	19	4,7;1,61;24,21;21,21	2000	item17908000000001,1
580	202	20	4,7;1,65;24,22;21,22	800	item17908000000001,1
581	202	21	4,7;1,70;24,24;21,24	800	item17908000000001,1
582	202	22	4,8;1,75;24,25;21,25	800	item17908000000001,1
583	202	23	4,8;1,80;24,27;21,27	800	item17908000000001,1
584	202	24	4,9;1,85;24,29;21,29	800	item17908000000001,1
585	202	25	4,9;1,90;24,30;21,30	2500	item17908000000001,1
586	202	26	4,10;1,96;24,32;21,32	2500	item17908000000001,1
587	202	27	4,11;1,102;24,34;21,34	2500	item17908000000001,1
588	202	28	4,11;1,108;24,36;21,36	2500	item17908000000001,1
589	202	29	4,12;1,114;24,38;21,38	2500	item17908000000001,1
590	202	30	4,12;1,120;24,40;21,40	7000	item17908000000001,1
591	202	31	4,13;1,127;24,43;21,43	7000	item17908000000001,1
592	202	32	4,14;1,134;24,45;21,45	7000	item17908000000001,1
593	202	33	4,15;1,141;24,47;21,47	7000	item17908000000001,1
594	202	34	4,15;1,148;24,50;21,50	7000	item17908000000001,1
595	202	35	4,16;1,155;24,52;21,52	15000	item17908000000001,1
596	202	36	4,17;1,163;24,55;21,55	15000	item17908000000001,1
597	202	37	4,18;1,171;24,57;21,57	15000	item17908000000001,1
598	202	38	4,18;1,179;24,60;21,60	15000	item17908000000001,1
599	202	39	4,19;1,187;24,63;21,63	15000	item17908000000001,1
600	202	40	4,20;1,195;24,65;21,65	7500	item17908000000001,1
601	202	41	4,21;1,204;24,68;21,68	7500	item17908000000001,1
602	202	42	4,22;1,213;24,71;21,71	7500	item17908000000001,1
603	202	43	4,23;1,222;24,74;21,74	7500	item17908000000001,1
604	202	44	4,24;1,231;24,77;21,77	7500	item17908000000001,1
605	202	45	4,24;1,240;24,80;21,80	16500	item17908000000001,1
606	202	46	4,25;1,250;24,84;21,84	16500	item17908000000001,1
607	202	47	4,26;1,260;24,87;21,87	16500	item17908000000001,1
608	202	48	4,27;1,270;24,90;21,90	16500	item17908000000001,1
609	202	49	4,28;1,280;24,94;21,94	16500	item17908000000001,1
610	202	50	4,29;1,290;24,97;21,97	25500	item17908000000001,1
611	202	51	4,31;1,301;24,101;21,101	25500	item17908000000001,1
612	202	52	4,32;1,312;24,104;21,104	25500	item17908000000001,1
613	202	53	4,33;1,323;24,108;21,108	25500	item17908000000001,1
614	202	54	4,34;1,334;24,112;21,112	25500	item17908000000001,1
615	202	55	4,35;1,345;24,115;21,115	34000	item17908000000001,1
616	202	56	4,36;1,357;24,119;21,119	34000	item17908000000001,1
617	202	57	4,37;1,369;24,123;21,123	34000	item17908000000001,1
618	202	58	4,39;1,381;24,127;21,127	34000	item17908000000001,1
619	202	59	4,40;1,393;24,131;21,131	34000	item17908000000001,1
620	202	60	4,41;1,405;24,135;21,135	21000	item17908000000001,1
621	202	61	4,42;1,418;24,140;21,140	21000	item17908000000001,1
622	202	62	4,44;1,431;24,144;21,144	21000	item17908000000001,1
623	202	63	4,45;1,444;24,148;21,148	21000	item17908000000001,1
624	202	64	4,46;1,457;24,153;21,153	21000	item17908000000001,1
625	202	65	4,47;1,470;24,157;21,157	38500	item17908000000001,1
626	202	66	4,49;1,483;24,161;21,161	38500	item17908000000001,1
627	202	67	4,50;1,496;24,166;21,166	38500	item17908000000001,1
628	202	68	4,51;1,509;24,170;21,170	38500	item17908000000001,1
629	202	69	4,53;1,522;24,174;21,174	38500	item17908000000001,1
630	202	70	4,54;1,535;24,179;21,179	55500	item17908000000001,1
631	202	71	4,55;1,549;24,183;21,183	55500	item17908000000001,1
632	202	72	4,57;1,563;24,188;21,188	55500	item17908000000001,1
633	202	73	4,58;1,577;24,193;21,193	55500	item17908000000001,1
634	202	74	4,60;1,591;24,197;21,197	55500	item17908000000001,1
635	202	75	4,61;1,605;24,202;21,202	72500	item17908000000001,1
636	202	76	4,62;1,620;24,207;21,207	72500	item17908000000001,1
637	202	77	4,64;1,635;24,212;21,212	72500	item17908000000001,1
638	202	78	4,65;1,650;24,217;21,217	72500	item17908000000001,1
639	202	79	4,67;1,665;24,222;21,222	72500	item17908000000001,1
640	202	80	4,68;1,680;24,227;21,227	45000	item17908000000001,1
641	202	81	4,70;1,696;24,232;21,232	45000	item17908000000001,1
642	202	82	4,72;1,712;24,238;21,238	45000	item17908000000001,1
643	202	83	4,73;1,728;24,243;21,243	45000	item17908000000001,1
644	202	84	4,75;1,744;24,248;21,248	45000	item17908000000001,1
645	202	85	4,76;1,760;24,254;21,254	82500	item17908000000001,1
646	202	86	4,78;1,777;24,259;21,259	82500	item17908000000001,1
647	202	87	4,80;1,794;24,265;21,265	82500	item17908000000001,1
648	202	88	4,82;1,811;24,271;21,271	82500	item17908000000001,1
649	202	89	4,83;1,828;24,276;21,276	82500	item17908000000001,1
650	202	90	4,85;1,845;24,282;21,282	120000	item17908000000001,1
651	202	91	4,87;1,863;24,288;21,288	120000	item17908000000001,1
652	202	92	4,89;1,881;24,294;21,294	120000	item17908000000001,1
653	202	93	4,90;1,899;24,300;21,300	120000	item17908000000001,1
654	202	94	4,92;1,917;24,306;21,306	120000	item17908000000001,1
655	202	95	4,94;1,935;24,312;21,312	157500	item17908000000001,1
656	202	96	4,96;1,954;24,318;21,318	157500	item17908000000001,1
657	202	97	4,98;1,973;24,325;21,325	157500	item17908000000001,1
658	202	98	4,100;1,992;24,331;21,331	157500	item17908000000001,1
659	202	99	4,102;1,1011;24,337;21,337	157500	item17908000000001,1
660	202	100	4,103;1,1030;24,344;21,344	97500	item17908000000001,1
661	202	101	4,105;1,1050;24,350;21,350	97500	item17908000000001,1
662	202	102	4,107;1,1070;24,357;21,357	97500	item17908000000001,1
663	202	103	4,109;1,1090;24,364;21,364	97500	item17908000000001,1
664	202	104	4,111;1,1110;24,370;21,370	97500	item17908000000001,1
665	202	105	4,113;1,1130;24,377;21,377	163500	item17908000000001,1
666	202	106	4,116;1,1151;24,384;21,384	163500	item17908000000001,1
667	202	107	4,118;1,1172;24,391;21,391	163500	item17908000000001,1
668	202	108	4,120;1,1193;24,398;21,398	163500	item17908000000001,1
669	202	109	4,122;1,1214;24,405;21,405	163500	item17908000000001,1
670	202	110	4,124;1,1235;24,412;21,412	229500	item17908000000001,1
671	202	111	4,126;1,1257;24,419;21,419	229500	item17908000000001,1
672	202	112	4,128;1,1279;24,427;21,427	229500	item17908000000001,1
673	202	113	4,131;1,1301;24,434;21,434	229500	item17908000000001,1
674	202	114	4,133;1,1323;24,441;21,441	229500	item17908000000001,1
675	202	115	4,135;1,1345;24,449;21,449	295000	item17908000000001,1
676	202	116	4,137;1,1367;24,456;21,456	295000	item17908000000001,1
677	202	117	4,139;1,1389;24,463;21,463	295000	item17908000000001,1
678	202	118	4,142;1,1411;24,471;21,471	295000	item17908000000001,1
679	202	119	4,144;1,1433;24,478;21,478	295000	item17908000000001,1
680	202	120	4,146;1,1455;24,485;21,485	180000	item17908000000001,1
681	202	121	4,148;1,1478;24,493;21,493	180000	item17908000000001,1
682	202	122	4,151;1,1501;24,501;21,501	180000	item17908000000001,1
683	202	123	4,153;1,1524;24,508;21,508	180000	item17908000000001,1
684	202	124	4,155;1,1547;24,516;21,516	180000	item17908000000001,1
685	202	125	4,157;1,1570;24,524;21,524	280000	item17908000000001,1
686	202	126	4,160;1,1594;24,532;21,532	280000	item17908000000001,1
687	202	127	4,162;1,1618;24,540;21,540	280000	item17908000000001,1
688	202	128	4,165;1,1642;24,548;21,548	280000	item17908000000001,1
689	202	129	4,167;1,1666;24,556;21,556	280000	item17908000000001,1
690	202	130	4,169;1,1690;24,564;21,564	380000	item17908000000001,1
691	202	131	4,172;1,1715;24,572;21,572	380000	item17908000000001,1
692	202	132	4,174;1,1740;24,580;21,580	380000	item17908000000001,1
693	202	133	4,177;1,1765;24,589;21,589	380000	item17908000000001,1
694	202	134	4,179;1,1790;24,597;21,597	380000	item17908000000001,1
695	202	135	4,182;1,1815;24,605;21,605	480000	item17908000000001,1
696	202	136	4,185;1,1841;24,614;21,614	480000	item17908000000001,1
697	202	137	4,187;1,1867;24,623;21,623	480000	item17908000000001,1
698	202	138	4,190;1,1893;24,631;21,631	480000	item17908000000001,1
699	202	139	4,192;1,1919;24,640;21,640	480000	item17908000000001,1
700	202	140	4,195;1,1945;24,649;21,649	0	item17908000000001,1
701	302	1	4,1;1,2;24,1;21,1	200	item17908000000001,1
702	302	2	4,1;1,4;24,2;21,2	200	item17908000000001,1
703	302	3	4,1;1,6;24,2;21,2	200	item17908000000001,1
704	302	4	4,1;1,8;24,3;21,3	200	item17908000000001,1
705	302	5	4,1;1,10;24,4;21,4	600	item17908000000001,1
706	302	6	4,2;1,13;24,5;21,5	600	item17908000000001,1
707	302	7	4,2;1,16;24,6;21,6	600	item17908000000001,1
708	302	8	4,2;1,19;24,7;21,7	600	item17908000000001,1
709	302	9	4,3;1,22;24,8;21,8	600	item17908000000001,1
710	302	10	4,3;1,25;24,9;21,9	1000	item17908000000001,1
711	302	11	4,3;1,30;24,10;21,10	1000	item17908000000001,1
712	302	12	4,4;1,35;24,12;21,12	1000	item17908000000001,1
713	302	13	4,4;1,40;24,14;21,14	1000	item17908000000001,1
714	302	14	4,5;1,45;24,15;21,15	1000	item17908000000001,1
715	302	15	4,5;1,50;24,17;21,17	2000	item17908000000001,1
716	302	16	4,6;1,55;24,19;21,19	2000	item17908000000001,1
717	302	17	4,6;1,60;24,20;21,20	2000	item17908000000001,1
718	302	18	4,7;1,65;24,22;21,22	2000	item17908000000001,1
