流水Id	配置ID	常规/活动	展示佣兵编号	展示道具ID	概率描述的语言	模型显示	UI界面模型倍数	UI界面模型位置	背景图名称	模型喊话语言	常规宣传语言	活动宣传语言
29	30	2	soldier_npc_10025;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10025	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery39;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery40
30	31	2	soldier_npc_10021;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10021	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery33;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery34
31	32	2	soldier_npc_10022;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10022	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery31;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery32
32	33	2	soldier_npc_10023;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10023	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery27;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery28
33	34	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery42
34	35	2	soldier_npc_10020;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10020	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery35;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery36
35	36	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery38
36	37	2	soldier_npc_10021;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10021	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery33;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery34
37	38	2	soldier_npc_10022;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10022	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery31;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery32
38	39	2	soldier_npc_10023;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10023	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery27;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery60
39	40	2	soldier_npc_10025;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10025	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery39;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery61
40	41	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery62
41	42	2	soldier_npc_10020;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10020	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery35;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery63
42	43	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery64
